Date,Open,High,Low,Close,Volume
1598572800,383.31,398.0,379.75,395.11,732601.46905
1598659200,395.1,405.69,391.88,398.65,659802.63344
1598745600,398.65,429.89,398.3,428.94,894979.7178799999
1598832000,428.94,439.0,418.04,433.79,1040748.6888100001
1598918400,433.8,488.84,429.03,475.4,1751354.57719
1599004800,475.4,481.39,420.0,439.5,1880642.46853
1599091200,439.5,450.7,372.0,381.4,2408569.3415099997
1599177600,381.35,400.21,357.0,385.26,1806488.2247400002
1599264000,385.3,395.0,308.42,335.01,2777166.51389
1599350400,335.04,360.0,316.1,352.8,2017811.1472099999
1599436800,352.85,358.51,323.0,353.59,1740618.4246200002
1599523200,353.59,356.58,325.38,337.39,1400246.82962
1599609600,337.41,359.0,330.51,350.85,879760.56255
1599696000,350.85,377.25,349.91,367.93,1134287.61137
1599782400,367.93,375.27,355.49,373.63,844017.5996600001
1599868800,373.62,388.57,364.73,387.78,766542.31635
1599955200,387.78,390.43,350.0,366.42,989195.69047
1600041600,366.43,384.64,355.73,377.12,1042059.62265
1600128000,377.12,382.47,362.34,364.06,883856.33005
1600214400,364.05,373.45,355.0,365.11,841709.98939
1600300800,365.04,394.14,363.3,389.36,1256300.4109999998
1600387200,389.35,392.58,375.33,384.39,804194.47219
1600473600,384.4,388.72,377.0,385.25,570908.33553
1600560000,385.25,385.45,365.0,371.04,693164.4014399999
1600646400,371.04,376.8,331.0,340.36,1283946.03098
1600732800,340.31,346.91,335.34,344.21,842731.12878
1600819200,344.18,344.65,313.29,320.72,940904.49756
1600905600,320.72,353.1,316.67,348.97,1071705.09721
1600992000,348.97,358.0,337.58,351.92,860643.77924
1601078400,351.93,356.4,345.88,353.92,530879.20755
1601164800,353.95,362.14,347.24,357.49,569568.55041
1601251200,357.58,368.2,351.7,353.96,757758.4304
1601337600,353.91,360.63,350.45,359.79,585143.16892
1601424000,359.78,361.5,351.56,359.83,498943.23226
1601510400,359.83,370.45,345.51,352.85,758349.31959
1601596800,352.83,354.55,334.24,345.6,733571.8421100001
1601683200,345.6,351.0,343.7,345.95,303595.71901
1601769600,345.94,354.45,343.81,352.37,343932.91712
1601856000,352.34,356.1,348.54,353.62,376740.30692
1601942400,353.63,355.1,336.8,340.75,640063.26951
1602028800,340.8,342.85,332.18,341.58,541928.8637600001
1602115200,341.58,353.32,334.21,350.95,631794.8756
1602201600,350.94,368.33,347.32,365.02,650478.1933800001
1602288000,365.01,378.4,364.71,370.52,591005.32129
1602374400,370.51,377.6,368.87,374.16,373318.23779
1602460800,374.17,394.8,365.58,386.51,844422.65444
1602547200,386.51,387.75,383.31,385.84,33546.47779
